IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
104.24.210.199,443,true,HKG,Asia Pacific,Hong Kong,188 мс
104.24.210.197,443,true,HKG,Asia Pacific,Hong Kong,189 мс
104.24.210.202,443,true,HKG,Asia Pacific,Hong Kong,189 мс
104.24.210.198,443,true,HKG,Asia Pacific,Hong Kong,190 мс
104.24.210.203,443,true,HKG,Asia Pacific,Hong Kong,190 мс
104.24.213.148,443,true,HKG,Asia Pacific,Hong Kong,191 мс
104.25.31.241,443,true,HKG,Asia Pacific,Hong Kong,180 мс
104.25.32.21,443,true,HKG,Asia Pacific,Hong Kong,188 мс
104.25.32.19,443,true,HKG,Asia Pacific,Hong Kong,188 мс
104.25.35.217,443,true,HKG,Asia Pacific,Hong Kong,181 мс
104.25.36.25,443,true,HKG,Asia Pacific,Hong Kong,181 мс
104.25.35.218,443,true,HKG,Asia Pacific,Hong Kong,184 мс
104.25.35.220,443,true,HKG,Asia Pacific,Hong Kong,186 мс
104.25.35.219,443,true,HKG,Asia Pacific,Hong Kong,186 мс
104.25.39.194,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.43.171,443,true,HKG,Asia Pacific,Hong Kong,183 мс
104.25.51.120,443,true,HKG,Asia Pacific,Hong Kong,187 мс
104.25.50.150,443,true,HKG,Asia Pacific,Hong Kong,211 мс
104.25.55.97,443,true,HKG,Asia Pacific,Hong Kong,180 мс
104.25.67.25,443,true,HKG,Asia Pacific,Hong Kong,180 мс
104.25.67.27,443,true,HKG,Asia Pacific,Hong Kong,181 мс
104.25.67.51,443,true,HKG,Asia Pacific,Hong Kong,181 мс
104.25.67.26,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.71.2,443,true,HKG,Asia Pacific,Hong Kong,180 мс
104.25.71.8,443,true,HKG,Asia Pacific,Hong Kong,181 мс
104.25.71.1,443,true,HKG,Asia Pacific,Hong Kong,182 мс
104.25.74.252,443,true,HKG,Asia Pacific,Hong Kong,182 мс
