IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
5.10.244.239,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.247.47,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.245.213,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.246.211,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.244.226,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.246.163,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.244.172,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.244.255,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.245.206,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.247.175,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.245.202,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.247.54,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.246.212,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.244.170,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.246.239,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.244.162,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.245.118,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.245.3,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.244.167,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.247.2,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.246.166,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.245.172,443,true,HKG,Asia Pacific,Hong Kong,120 мс
5.10.247.52,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.247.207,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.246.131,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.246.214,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.246.132,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.247.51,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.246.218,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.246.4,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.246.179,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.246.162,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.245.171,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.246.210,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.245.16,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.245.102,443,true,HKG,Asia Pacific,Hong Kong,121 мс
5.10.245.101,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.244.165,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.244.164,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.245.10,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.247.50,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.244.194,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.247.56,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.245.4,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.247.46,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.245.59,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.247.179,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.244.249,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.244.168,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.247.204,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.246.183,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.244.83,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.245.56,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.244.195,443,true,HKG,Asia Pacific,Hong Kong,122 мс
5.10.246.213,443,true,HKG,Asia Pacific,Hong Kong,122 мс
